followers_count,friends_count,favorites_count,statuses_count,default_profile,default_profile_image,verified,bot
54316,55077,75177,273171,0,0,0,1
59244,60257,108116,260100,1,0,0,1
66839,69323,118370,213930,1,0,0,1
47629,48814,378276,433997,1,0,0,1
9375,9603,160507,508479,1,0,0,1
53174,54084,374079,306818,0,0,0,1
51584,29399,90671,249426,1,0,0,1
66839,69323,118370,213930,1,0,0,1
75570,61504,345984,500674,1,0,0,0
149682,138872,325148,394059,0,0,0,1
51584,29399,90671,249426,1,0,0,1
18376,18290,65072,365975,0,0,0,1
66839,69323,118370,213930,1,0,0,1
75570,61504,345984,500674,1,0,0,0
65479,56266,446170,694618,1,0,0,1
66812,61588,235453,273313,0,0,0,1
10833,11881,23502,187852,1,0,0,1
65479,56266,446170,694618,1,0,0,1
43225,44123,98462,132127,1,0,0,0
62603,62721,289743,347953,1,0,0,1
4957,2466,473077,474295,1,0,0,1
6193,6208,115,8243,1,0,0,1
4716,5162,18600,20655,1,0,0,1
1081,1940,24519,110796,1,0,0,1
3290,4527,296044,270621,1,0,0,1
3290,4527,296044,270621,1,0,0,1
5034,3725,354087,277149,1,0,0,0
4888,5259,206720,305486,1,0,0,1
3922,4255,118297,138259,1,0,0,1
1905,3004,21205,15057,1,0,0,1
4888,5259,206720,305486,1,0,0,1
2982,3689,8715,20935,1,0,0,1
5021,3584,289164,269302,1,0,0,1
2662,4314,22460,183933,1,0,0,1
3922,4255,118297,138259,1,0,0,1
1649,2474,3143,28245,1,0,0,1
6199,5899,32948,778982,1,0,0,1
6199,5899,32948,778982,1,0,0,1
6199,5899,32948,778982,1,0,0,1
5422,5994,10537,184502,1,1,0,1
6199,5899,32948,778982,1,0,0,1
69328,38804,56042,417916,1,0,0,1
6517,6553,219140,235871,1,1,0,0
7266,7986,38599,170342,1,1,0,1
7266,7986,38599,170342,1,1,0,1
7266,7986,38599,170342,1,1,0,1
36904,34904,112113,147558,1,0,0,1
93761,88016,444883,567745,1,0,0,1
8184,8385,176345,192556,1,1,0,1
7604,8059,182350,103612,1,0,0,0
11319,12359,39323,78375,1,1,0,0
5162,5635,147903,165319,1,1,0,0
7266,7986,38599,170342,1,1,0,1
37096,16715,553093,553498,1,0,0,0
69328,38804,56042,417916,1,0,0,1
93761,88016,444883,567745,1,0,0,1
11720,11729,176157,168688,1,1,0,1
8543,8698,36270,147426,1,1,0,1
23519,26487,216471,292452,1,1,0,0
3156,4991,35041,247173,1,0,0,0
8911,9728,134507,125285,1,0,0,1
6228,6694,223238,241451,0,0,0,1
9329,10244,133719,152195,1,0,0,0
41897,44916,97494,199803,1,0,0,1
13322,2607,526670,731692,1,0,0,1
26738,27772,23712,347718,1,0,0,1
18438,20142,53384,62747,1,0,0,0
9728,9981,255347,315484,1,0,0,1
10516,11592,218350,227123,1,0,0,1
12726,13944,188344,184253,1,0,0,1
77120,77768,22460,119269,1,0,0,1
41897,44916,97494,199803,1,0,0,1
24458,13893,43531,59713,1,0,0,1
40678,40731,154278,165132,1,0,0,1
37100,40190,48710,98752,1,0,0,1
38853,38920,102621,117437,1,0,0,1
24136,23264,860183,937202,1,0,0,1
